"Simulated Data, Sydney Piloted Jet Flame",,,
"Arbitrary Location: x/D_J = 10, r/D_J = 0.6",,,
N_Samples = 500,,,
,,,
ZMIX,TEMP,Y_CO2,Y_CO
0.092230613,1800.382627,0.083419708,0.052235312
0.045362896,2003.596172,0.121546936,0.001847267
0.043654663,1956.602342,0.117646633,0.001346127
0.043492316,1949.144905,0.1165076,0.001788839
0.066490156,1725.967227,0.069299251,0.048031885
0.050707064,2041.33937,0.119754342,0.01230176
0.049418864,1984.978206,0.114467579,0.013320127
0.089402456,1738.827849,0.074837525,0.051659661
0.073063972,1904.798695,0.090557878,0.050123927
0.052974017,1749.692632,0.07839572,0.039154079
0.081321799,1887.960366,0.093463839,0.048452966
0.172493227,1039.931685,0.024809921,0.041054404
0.034875861,1678.96426,0.09447823,0.000771745
0.088953672,1632.89775,0.064797222,0.047964464
0.089241744,1486.518151,0.055307116,0.040092172
0.231966117,847.5417821,0.008318727,0.045322227
0.049427554,2112.862043,0.13077629,0.003070506
0.087770045,1654.388784,0.066098296,0.048985169
0.063681237,1993.115171,0.10457525,0.037750897
0.078929442,1814.602679,0.080057611,0.052104896
0.082531256,1857.69105,0.08675585,0.05214587
0.044489556,1856.757635,0.105190448,0.010645754
0.079109336,1832.521246,0.082575699,0.051912223
0.028815541,1484.018356,0.078943092,7.91E-05
0.041855523,1893.05528,0.111604123,0.002050639
0.106961463,904.1414762,0.011614943,0.04038758
0.086684949,1838.668746,0.086135895,0.052122535
0.049189597,1994.599208,0.116405006,0.011797221
0.085310822,1817.527437,0.082972367,0.052075675
0.175553157,658.2409256,0.003885961,0.02322079
0.075012944,1887.112415,0.088902309,0.050558383
0.243588106,701.3214785,0.00495721,0.027748625
0.063412933,2114.398105,0.11038609,0.039006311
0.103795688,1785.317454,0.08688904,0.051562957
0.048073962,2012.978869,0.119830089,0.007673412
0.050794519,2103.821964,0.126678248,0.008065136
0.048985677,1922.43467,0.10881379,0.016244362
0.049406626,2052.672834,0.121769696,0.008758987
0.053924612,2146.983658,0.127421942,0.01305732
0.078132107,1903.08452,0.090854423,0.051582701
0.063973857,2090.420029,0.108521616,0.040253087
0.091642355,1607.625282,0.063285346,0.047173111
0.051569201,2045.810401,0.118831066,0.014304956
0.041809585,1857.25058,0.107839457,0.004366532
0.071740445,1859.945819,0.085294409,0.049904304
0.088128037,1519.334779,0.057113971,0.041709158
0.078858762,1958.951298,0.098865944,0.049403929
0.058351112,1990.97863,0.106765868,0.032109515
0.090423894,1709.725771,0.071911673,0.051198172
0.122254172,958.6286264,0.013197455,0.045728264
0.044547344,1985.753934,0.120319988,0.00120377
